city,lessThan200,lessThan500,Inf,prescription_start,prescription_end
黑龙江,1.6,1.4,1.3,2,3
吉林,1.6,1.4,1.3,2,3
辽宁,1.6,1.4,1.3,2,3
福建,2.4,2.1,2,3,4
北京,0.8,0.7,0.6,1,1
天津,0.8,0.7,0.6,1,1
河北,0.8,0.7,0.6,1,2
河南,1.6,1.4,1.3,2,3
内蒙古,1.6,1.4,1.3,2,3
山西,1.4,1.2,1.1,2,3
安徽,1.8,1.7,1.6,2,3
江苏,1.8,1.6,1.5,2,3
浙江,1.8,1.6,1.5,2,3
上海,1.8,1.6,1.5,2,3
广东,2.2,2,1.9,3,4
广西,2.2,2,1.9,3,4
海南,3.8,3.7,3.6,4,5
湖北,1.8,1.6,1.5,3,3
湖南,1.8,1.6,1.5,3,3
江西,1.9,1.7,1.6,3,4
山东,1.4,1.2,1.1,2,3
甘肃,3,2.8,2.7,4,5
宁夏,3,2.8,2.7,4,5
青海,2.9,2.8,2.7,4,5
陕西,2.1,2,1.8,3,4
四川,2.5,2.3,2.2,3,4
重庆,2.5,2.3,2.2,3,4
云南,3,2.7,2.6,3,4
西藏,6,5.5,5,7,7
新疆,6,5.5,5,7,7
